"time","Are.N","Ace.N","Are.S","Ace.S","S","RelPrice_N","RelLabor_N","Labor.re_N","Price.re_N","Agg.demand.re.tech_N","Profits.re_N","Yre_N","sre_N","Labor.ce_N","Price.ce_N","Agg.demand.ce.tech_N","Profits.ce_N","Yce_N","sce_N","Y_N","RelPrice_S","RelLabor_S","Labor.re_S","Price.re_S","Agg.demand.re.tech_S","Profits.re_S","Yre_S","sre_S","Labor.ce_S","Price.ce_S","Agg.demand.ce.tech_S","Profits.ce_S","Yce_S","sce_S","Y_S","Delta.Temp","Gamma.re.t_N","Gamma.re.t_S","Gamma.ce.t_N","Gamma.ce.t_S","L_N","L_S","Consumption_N","Consumption_S","Utility.Consumer_N","Utility.Consumer_S","CO2.Concentration","Cost.S.Damage","policy.status","Policy.Start.Time","ce.tax_N","RD.subsidy_N","RD.subsidy.GF_N","Tec.subsidy_N","Tec.subsidy.GF_N","ce.tax_S","RD.subsidy_S","Tec.subsidy_S","dS.lag","Budget.function.N","Budget.function.S","Run.ID","Policy.Duration","Budget.N","Budget.S"
2023,120.124979789264,246.506398106631,24.8245156001451,75.1125940894952,1045.337,1.61871563587981,0.381644384388694,0.27622475703656,1.90269291002036,86.669070044181,0.383250627735368,45.55074,0.349563574314308,0.72377524296344,1.17543370055001,227.093790946262,1.00420874356437,193.2,0.650436425685692,313.762860990443,2.0997008564004,0.226821986293263,0.739543271403495,2.32567058853324,64.7040163861718,0.286121160459652,27.82166,0.273822637161906,3.26045672859651,1.10761996474118,285.263423725222,1.26143485971293,257.5463,0.726177362838094,349.967440111394,1.34598364977682,0.25,0.25,0.25,0.25,1,4,279.594085428584,77.9639964708158,0.996408184061921,0.98711904805174,381.487,0.995767497982075,0,3.3,0,0,0,0,0,0,0,0,0,0,0,15,100,121.26395735379,402.89293458484
2028,121.544468081939,249.795055238671,25.4803800730842,78.2271494502136,1030.98546080811,1.50531810253898,0.510871091946941,0.338130165220529,1.8072029741652,138.692622857171,1.83989633482323,61.395482340322,0.706718477052219,0.661869834779471,1.20054556649325,217.186096521705,0.960396918818978,180.906166815557,0.293281522947781,327.883814564248,2.12027198082988,0.257504456021435,0.819096758785706,2.34425964276406,74.436927589697,0.335743295677673,31.7528511909757,0.280390342414394,3.18090324121429,1.10564100453118,289.070444604271,1.27826950604008,261.450546261935,0.719609657585606,363.30416053655,1.51826810407749,0.25,0.25,0.25,0.25,1,4,289.128622023888,80.9295519261566,0.991554485751886,0.982652069280395,395.838539191895,0.994494231230258,1,3.3,0.05,2,0.01,0.2,0,0.05,0.01,0,-2.77155617815993,6.60869034276921,14.4469390283375,15,100,121.26395735379,402.89293458484
2033,123.720894935866,251.613155182281,26.1482253058728,81.3212565568972,1016.63492564113,1.49476937236498,0.518107066796469,0.341284931826176,1.7984258329329,141.46160870017,1.87662970101645,62.926857970883,0.713151444518202,0.658715068173824,1.20314602786347,218.428379407905,0.965890293741754,181.547687769694,0.286848555481798,331.33730951406,2.13870284767482,0.253085347282164,0.807879041379215,2.3609425809732,76.1434372574513,0.343440405143498,32.2512872066818,0.27151183421275,3.19212095862078,1.10391332930612,300.860709934974,1.33040605933246,272.540155053734,0.72848816578725,376.795616780067,1.68440468355118,0.25,0.25,0.25,0.25,1,4,292.145289809091,83.9349662877029,0.986642228960973,0.978177002420126,410.189074358867,0.993072807840397,1,3.3,0.05,2,0.01,0.2,0,0.05,0.01,0,-2.91247687667076,6.58593160276571,15.0363013711577,15,100,121.26395735379,402.89293458484
2038,125.95683670218,253.403152489787,26.8049875399635,84.4293651202667,1001.57473386149,1.48397018503809,0.525675269796754,0.344552527135596,1.78946011692968,144.316519059475,1.91450294184299,64.5184623872321,0.719767007106721,0.655447472864404,1.20585988517266,219.62839395549,0.971196758071175,182.134256770672,0.280232992893279,334.817205648699,2.15698041738681,0.24881438930666,0.79696195507421,2.37751225464563,77.8091120791966,0.350953331486492,32.7271129421766,0.262717405048408,3.20303804492579,1.10224100111488,312.719502662276,1.38284564077258,283.712457027065,0.737282594951592,390.314866704105,1.85261953762446,0.25,0.25,0.25,0.25,1,4,295.183604621369,86.9465751396898,0.981753149831457,0.97369116567287,425.249266138514,0.991425638810467,1,3.3,0.05,2,0.01,0.2,0,0.05,0.01,0,-3.05483381181882,6.55842989916098,15.6290936952415,15,100,121.26395735379,402.89293458484
2043,128.254688942137,255.163099529986,27.4506777234194,87.5497328167329,985.798003687127,1.47291806690251,0.533593731085413,0.347936823338315,1.7803054883384,147.261049092708,1.95356507726387,66.1733843128912,0.726564046477879,0.652063176661685,1.20869281757288,220.783776890566,0.976305861410083,182.663265372844,0.273435953522121,338.324095340305,2.17510474161624,0.244685112941491,0.786335790144517,2.3939675513677,79.434517654808,0.358284625810952,33.1811170996977,0.254022533439102,3.21366420985548,1.10062173354872,324.639765369797,1.43555704246524,294.960344207511,0.745977466560898,403.855418523271,2.02256528501385,0.25,0.25,0.25,0.25,1,4,298.244013790726,89.9629322754729,0.976887104271059,0.969197521669238,441.025996312873,0.989532744676572,1,3.3,0.05,2,0.01,0.2,0,0.05,0.01,0,-3.19854094244669,6.52595388274252,16.2249630797485,15,100,121.26395735379,402.89293458484
2048,130.616948098558,256.891036265123,28.0853247602453,90.6805320558131,969.298299390739,1.46161101100877,0.541881450944992,0.351441708188967,1.77096209657408,150.299049847363,1.99386719527512,67.8948691846611,0.733540414361408,0.648558291811032,1.21165076291524,221.892149414239,0.981207084709765,183.132100606585,0.266459585638592,341.858680294696,2.19307350619433,0.240691925093443,0.775992557782837,2.41030525111893,81.0202898865328,0.365437156315813,33.6141199746052,0.24544222118118,3.22400744221716,1.0990535630981,336.614075669878,1.4885074426122,306.276315342632,0.75455777881882,417.410485572291,2.19391488907652,0.25,0.25,0.25,0.25,1,4,301.327058695107,92.9825257907995,0.972043945088133,0.964698643584276,457.525700609261,0.987372604341748,1,3.3,0.05,2,0.01,0.2,0,0.05,0.01,0,-3.34350763615477,6.48826665096751,16.8235383490563,15,100,121.26395735379,402.89293458484
2053,133.046212773653,258.584999662189,28.7089762164509,93.8198562351649,952.069654047693,1.45004753512167,0.550558431988596,0.355071063837629,1.76143062710753,153.434529567607,2.03546246924387,69.6863230178138,0.740692814272402,0.644928936162371,1.21473992020526,222.951128385639,0.985889889721294,183.538158808484,0.259307185727598,345.421783799794,2.21088232951046,0.236829959114895,0.765925687260603,2.42652028117253,82.5671348382435,0.372414107659807,34.026970835103,0.236990865155421,3.2340743127394,1.09753479359067,348.634670828057,1.54166251440167,317.652499824148,0.763009134844579,430.973010782671,2.36636178524393,0.25,0.25,0.25,0.25,1,4,304.433385648685,96.0037835364028,0.967223520821555,0.960196767801804,474.754345952307,0.984921821293579,1,3.3,0.05,2,0.01,0.2,0,0.05,0.01,0,-3.4896393082159,6.445126267101,17.4244313039978,15,100,121.26395735379,402.89293458484
2058,135.5451844692,260.243034266652,29.3216988478854,96.9657267247993,934.106590480697,1.43822674230392,0.559645708370592,0.358828742557995,1.75171235146588,156.671654039943,2.07840616249388,71.551315561067,0.74801668102362,0.641171257442005,1.21796675026345,223.958338922805,0.990343774716642,183.878861121917,0.25198331897638,349.014363624262,2.22852502636198,0.233094950756795,0.756129771235334,2.44260594307016,84.0758279218839,0.379218977291982,34.4205450577948,0.228682136892254,3.24387022876467,1.09606395000089,360.693475551112,1.59498654888702,329.080685073912,0.771317863107746,444.535693652379,2.539619753845,0.25,0.25,0.25,0.25,1,4,307.563757390619,99.0250791260424,0.962425674306826,0.955693836482019,492.717409519303,0.982154710560352,1,3.3,0.05,2,0.01,0.2,0,0.05,0.01,0,-3.63683617832986,6.39628637971032,18.0272381113342,15,100,121.26395735379,402.89293458484
2063,138.11666769521,261.863203920543,29.9235789369951,100.116100494284,915.404140009938,1.42614838349388,0.5691653712813,0.362718539229902,1.7418091777638,160.014745826298,2.12275561813166,73.4935825894454,0.755506060395208,0.637281460770098,1.22133797431133,224.911428418175,0.994558336465169,184.151670666749,0.244493939604792,352.637525441869,2.24599384440202,0.229483134837337,0.74660035045604,2.45855411758451,85.5472124001535,0.385855568698148,34.7957410366879,0.220528872333333,3.25339964954396,1.09463973986941,372.782132598945,1.64844259035253,340.552347061161,0.779471127666667,458.09101935797,2.7134225853319,0.25,0.25,0.25,0.25,1,4,310.719065066646,102.044738421892,0.957650240899651,0.951191531686611,511.419859990062,0.979042785337793,1,3.3,0.05,2,0.01,0.2,0,0.05,0.01,0,-3.784995773241,6.34149694699188,18.6315408344826,15,100,121.26395735379,402.89293458484
2068,140.763569376333,263.443604661728,30.5147224402921,103.268878342048,895.957858911579,1.41381292145891,0.5791405898378,0.36674416044064,1.73172370108057,163.468282256616,2.16857023241627,75.5170271814677,0.763153491891434,0.63325583955936,1.224860570162,225.808082009791,0.998523338647296,184.354111407085,0.236846508108566,356.292536720153,2.26327967890581,0.22599115879087,0.737333730901463,2.47435545242554,86.9821972359165,0.392327981700767,35.1534768986607,0.212542973805969,3.26266626909854,1.09326102093656,384.892036048228,1.70199258340527,352.058683770235,0.787457026194031,471.631289867504,2.88752357813449,0.25,0.25,0.25,0.25,1,4,313.900340651541,105.061046465715,0.952897046247957,0.946691302249061,530.866141088421,0.97555411440831,1,3.3,0.05,2,0.01,0.2,0,0.05,0.01,0,-3.93401214437021,6.28050507190117,19.2369090968879,15,100,121.26395735379,402.89293458484
